"";"data";"godzina";"zamkniecie"
"747";20181123;80000;145,26
"748";20181123;120000;144,87
"749";20181123;160000;144,72
"750";20181123;200000;144,46
"751";20181126;80000;145,14
"752";20181126;120000;145,48
"753";20181126;160000;145,66
"754";20181126;200000;145,55
"755";20181127;80000;144,86
"756";20181127;120000;144,81
"757";20181127;160000;144,92
"758";20181127;200000;144,85
"759";20181128;80000;145,23
"760";20181128;120000;145,51
"761";20181128;160000;145,55
"762";20181128;200000;145,67
"763";20181129;80000;145,39
"764";20181129;120000;144,67
"765";20181129;160000;144,75
"766";20181129;200000;144,97
"767";20181130;80000;144,91
"768";20181130;120000;144,75
"769";20181130;160000;144,69
"770";20181130;200000;144,8
"771";20181203;80000;145,07
"772";20181203;120000;144,39
"773";20181203;160000;144,37
"774";20181203;200000;144,65
"775";20181204;80000;144,01
"776";20181204;120000;144,49
"777";20181204;160000;143,83
"778";20181204;200000;143,43
"779";20181205;80000;143,49
"780";20181205;120000;144,2
"781";20181205;160000;143,83
"782";20181205;200000;144,12
"783";20181206;80000;143,46
"784";20181206;120000;143,57
"785";20181206;160000;143,56
"786";20181206;200000;143,87
"787";20181207;80000;144,05
"788";20181207;120000;143,88
"789";20181207;160000;143,88
"790";20181207;200000;143,4
"791";20181210;80000;143,17
"792";20181210;120000;143,26
"793";20181210;160000;142,66
"794";20181210;200000;142,12
"795";20181211;80000;142,16
"796";20181211;120000;142,62
"797";20181211;160000;142,36
"798";20181211;200000;142,02
"799";20181212;80000;141,91
"800";20181212;120000;142,19
"801";20181212;160000;142,96
"802";20181212;200000;143,01
"803";20181213;80000;143,13
"804";20181213;120000;143,57
"805";20181213;160000;143,41
"806";20181213;200000;143,8
"807";20181214;80000;143,21
"808";20181214;120000;142,86
"809";20181214;160000;142,56
"810";20181214;200000;142,52
"811";20181217;80000;142,74
"812";20181217;120000;142,85
"813";20181217;160000;142,37
"814";20181217;200000;142,37
"815";20181218;80000;142,15
"816";20181218;120000;142,06
"817";20181218;160000;142,3
"818";20181218;200000;142,19
"819";20181219;80000;142,21
"820";20181219;120000;142,1
"821";20181219;160000;142,11
"822";20181219;200000;141,81
"823";20181220;80000;141,59
"824";20181220;120000;141,81
"825";20181220;160000;141,15
"826";20181220;200000;140,77
"827";20181221;80000;141,1
"828";20181221;120000;140,84
"829";20181221;160000;140,38
"830";20181221;200000;140,67
"831";20181224;80000;140,66
"832";20181224;120000;140,51
"833";20181224;160000;140,36
"834";20181225;80000;139,88
"835";20181225;160000;139,88
"836";20181225;200000;139,88
"837";20181226;80000;140,26
"838";20181226;120000;140,19
"839";20181226;160000;140,16
"840";20181226;200000;140,81
"841";20181227;80000;140,54
"842";20181227;120000;139,91
"843";20181227;160000;139,94
"844";20181227;200000;140,02
"845";20181228;80000;139,98
"846";20181228;120000;139,84
"847";20181228;160000;139,93
"848";20181228;200000;140,02
"849";20181231;80000;139,97
"850";20181231;120000;140,15
"851";20181231;160000;140,79
"852";20190101;80000;139,77
"853";20190101;120000;139,77
"854";20190101;160000;139,77
"855";20190101;200000;139,77
"856";20190102;80000;139,33
"857";20190102;120000;138,16
"858";20190102;160000;137,8
"859";20190102;200000;137,67
"860";20190103;80000;134,1
"861";20190103;120000;135,27
"862";20190103;160000;135,5
"863";20190103;200000;136,09
"864";20190104;80000;136,44
"865";20190104;120000;136,76
"866";20190104;160000;137,52
"867";20190104;200000;138,21
"868";20190107;80000;137,9
"869";20190107;120000;137,89
"870";20190107;160000;138,31
"871";20190107;200000;138,65
"872";20190108;80000;139,01
"873";20190108;120000;138,67
"874";20190108;160000;138,54
"875";20190108;200000;138,13
"876";20190109;80000;138,57
"877";20190109;120000;138,55
"878";20190109;160000;138,56
"879";20190109;200000;138,54
"880";20190110;80000;137,79
"881";20190110;120000;137,86
"882";20190110;160000;137,74
"883";20190110;200000;138,15
"884";20190111;80000;138,12
"885";20190111;120000;138,87
"886";20190111;160000;138,98
"887";20190111;200000;139,33
"888";20190114;80000;138,87
"889";20190114;120000;138,85
"890";20190114;160000;138,97
"891";20190114;200000;139,22
"892";20190115;80000;140,18
"893";20190115;120000;139,31
"894";20190115;160000;139,25
"895";20190115;200000;139,26
"896";20190116;80000;139,34
